11,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,
19,9,13,13,13,13,13,13,13,13,9,,,,,,,,,,,,,,,,,
23,0,1,16,6,0,0,1,1,0,1,1,,,,,,,,,,,,,,,,
25,0,5,5,0,5,5,5,5,5,5,0,5,5,5,0,0,5,1,5,15,15,,,,,,
27,0,1,0,4,1,1,1,15,1,1,,,,,,,,,,,,,,,,,
29,9,1,0,1,1,1,1,1,4,14,14,13,13,13,13,13,13,13,13,13,13,16,13,1,13,2,10
31,2,13,13,11,12,12,14,12,9,2,,,,,,,,,,,,,,,,,
33,9,13,13,13,13,12,13,13,13,13,13,12,12,12,13,13,13,9,,,,,,,,,
35,9,12,12,7,12,12,12,12,13,14,0,4,4,8,2,10,7,,,,,,,,,,
37,8,8,14,7,8,5,11,8,8,9,,,,,,,,,,,,,,,,,
39,8,15,14,14,14,2,14,4,11,12,5,5,12,1,4,7,13,12,10,,,,,,,,
41,9,9,4,5,5,1,8,8,12,12,12,8,8,7,7,16,15,4,4,14,12,14,,,,,
43,9,7,4,8,14,14,4,14,14,11,11,11,11,11,12,11,11,11,14,,,,,,,,
45,8,8,8,8,8,8,8,12,12,8,8,8,12,1,1,8,10,,,,,,,,,,
47,1,1,1,1,1,9,1,4,13,13,,,,,,,,,,,,,,,,,
49,9,13,13,1,13,13,1,5,5,14,5,5,1,,,,,,,,,,,,,,
51,9,13,13,13,1,11,1,1,1,14,4,1,13,13,13,1,,,,,,,,,,,
53,9,13,13,13,13,13,13,10,10,10,16,,,,,,,,,,,,,,,,
55,9,8,1,14,1,1,1,14,14,1,13,0,9,1,1,10,,,,,,,,,,,
59,14,14,1,14,13,9,13,14,13,13,,,,,,,,,,,,,,,,,
61,9,9,2,13,13,12,12,7,12,8,5,9,5,,,,,,,,,,,,,,
65,9,12,12,12,12,12,7,12,12,12,12,12,,,,,,,,,,,,,,,
67,5,14,5,8,7,14,15,14,14,5,5,15,15,15,15,15,15,12,,,,,,,,,
69,9,5,7,5,5,5,5,7,12,5,,,,,,,,,,,,,,,,,
73,1,9,13,15,13,1,9,,,,,,,,,,,,,,,,,,,,
75,9,13,13,13,13,13,4,4,4,4,4,9,,,,,,,,,,,,,,,
77,12,7,7,14,15,7,7,12,12,12,12,12,10,,,,,,,,,,,,,,
79,5,12,8,8,14,14,10,10,7,10,,,,,,,,,,,,,,,,,
81,9,12,12,12,12,12,9,13,15,15,5,5,15,5,5,12,15,9,9,,,,,,,,
87,0,9,9,9,9,1,1,0,0,0,,,,,,,,,,,,,,,,,
89,4,4,4,4,4,2,10,,,,,,,,,,,,,,,,,,,,
91,1,1,4,4,4,4,16,5,16,4,1,12,4,,,,,,,,,,,,,,
93,1,1,1,6,10,1,1,6,1,1,0,0,9,,,,,,,,,,,,,,
95,9,9,6,9,4,8,,,,,,,,,,,,,,,,,,,,,
97,1,6,9,11,6,6,6,6,6,10,,,,,,,,,,,,,,,,,
99,9,14,14,14,14,3,3,3,14,3,3,3,14,12,12,14,14,6,,,,,,,,,
101,6,6,6,6,6,3,6,6,6,6,6,,,,,,,,,,,,,,,,
103,6,6,6,6,6,12,12,12,4,4,12,12,12,6,6,5,6,6,,,,,,,,,
105,11,11,11,11,2,6,,,,,,,,,,,,,,,,,,,,,
107,4,2,10,2,13,5,2,2,2,5,9,,,,,,,,,,,,,,,,
109,4,5,9,1,2,,,,,,,,,,,,,,,,,,,,,,
111,16,4,4,11,11,11,11,5,11,9,4,,,,,,,,,,,,,,,,
113,4,4,4,4,4,4,4,5,11,1,4,4,,,,,,,,,,,,,,,
115,1,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,
117,5,16,8,7,12,4,12,4,5,12,5,12,10,10,,,,,,,,,,,,,
